# total 	 kin 	 lens
6.627771263062815706e+03 -5.157844711678623462e+00 6.632929107774494696e+03
6.614517601834932066e+03 -5.164712721573431864e+00 6.619682314556505844e+03
6.631054921148331232e+03 -5.181876663065216881e+00 6.636236797811396173e+03
6.631054922627904489e+03 -5.181876663065216881e+00 6.636236799290969429e+03
6.631054922627904489e+03 -5.181876663065216881e+00 6.636236799290969429e+03
6.631054922627904489e+03 -5.181876663065216881e+00 6.636236799290969429e+03
6.631054921148331232e+03 -5.181876663065216881e+00 6.636236797811396173e+03
6.631054922415413785e+03 -5.181876663065216881e+00 6.636236799078478725e+03
6.631054921148331232e+03 -5.181876663065216881e+00 6.636236797811396173e+03
6.631054920679459428e+03 -5.181876663065216881e+00 6.636236797342524369e+03
6.631054922245990383e+03 -5.181876663065216881e+00 6.636236798909055324e+03
6.631054921325351643e+03 -5.181876663065216881e+00 6.636236797988416583e+03
6.631054921325351643e+03 -5.181876663065216881e+00 6.636236797988416583e+03
6.631054922627904489e+03 -5.181876663065216881e+00 6.636236799290969429e+03
6.631054921325351643e+03 -5.181876663065216881e+00 6.636236797988416583e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009484806276305e+03 -5.185351291573935484e+00 6.627194836097850384e+03
6.622009484856718700e+03 -5.185351291573935484e+00 6.627194836148292779e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009484655250162e+03 -5.185351291573935484e+00 6.627194835946824242e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009483417174124e+03 -5.185351291573935484e+00 6.627194834708748203e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009483417174124e+03 -5.185351291573935484e+00 6.627194834708748203e+03
6.622009483417174124e+03 -5.185351291573935484e+00 6.627194834708748203e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009483268492659e+03 -5.185351291573935484e+00 6.627194834560066738e+03
6.622009484856718700e+03 -5.185351291573935484e+00 6.627194836148292779e+03
6.622009483417174124e+03 -5.185351291573935484e+00 6.627194834708748203e+03
6.612635487637368897e+03 -5.189357131474963580e+00 6.617824844768843832e+03
6.612635486905336620e+03 -5.189357131474963580e+00 6.617824844036811555e+03
6.612635487686056877e+03 -5.189357131474963580e+00 6.617824844817531812e+03
6.612635487637368897e+03 -5.189357131474963580e+00 6.617824844768843832e+03
6.612635487744907550e+03 -5.189357131474963580e+00 6.617824844876382485e+03
6.612635486905336620e+03 -5.189357131474963580e+00 6.617824844036811555e+03
6.612635487744907550e+03 -5.189357131474963580e+00 6.617824844876382485e+03
6.612635486905336620e+03 -5.189357131474963580e+00 6.617824844036811555e+03
6.604692920112399406e+03 -5.206708893308188202e+00 6.609899629005707538e+03
6.629123377443385834e+03 -5.207707682948300665e+00 6.634331085126334074e+03
6.622239448170882497e+03 -5.219545428065044845e+00 6.627458993598947927e+03
6.622239447646566987e+03 -5.219545428065044845e+00 6.627458993074632417e+03
6.622239447646566987e+03 -5.219545428065044845e+00 6.627458993074632417e+03
6.622239448170882497e+03 -5.219545428065044845e+00 6.627458993598947927e+03
6.622239447646566987e+03 -5.219545428065044845e+00 6.627458993074632417e+03
6.622239448258294033e+03 -5.219545428065044845e+00 6.627458993686359463e+03
6.622239447128423308e+03 -5.219545428065044845e+00 6.627458992556488738e+03
6.622239446796221273e+03 -5.219545428065044845e+00 6.627458992224286703e+03
6.622239446796221273e+03 -5.219545428065044845e+00 6.627458992224286703e+03
6.622239447646566987e+03 -5.219545428065044845e+00 6.627458993074632417e+03
6.622239447646566987e+03 -5.219545428065044845e+00 6.627458993074632417e+03
6.622239447260783891e+03 -5.219545428065044845e+00 6.627458992688849321e+03
6.622239447646566987e+03 -5.219545428065044845e+00 6.627458993074632417e+03
6.622239448258294033e+03 -5.219545428065044845e+00 6.627458993686359463e+03
6.622239446796221273e+03 -5.219545428065044845e+00 6.627458992224286703e+03
6.622239446796221273e+03 -5.219545428065044845e+00 6.627458992224286703e+03
6.628425917211307024e+03 -5.220203426756134135e+00 6.633646120638062712e+03
6.628425917393593409e+03 -5.220203426756134135e+00 6.633646120820349097e+03
6.628425917273385494e+03 -5.220203426756134135e+00 6.633646120700141182e+03
6.628425917440522426e+03 -5.220203426756134135e+00 6.633646120867278114e+03
6.621225652705245011e+03 -5.221372304181921997e+00 6.626447025009427307e+03
6.621225652336326675e+03 -5.221372304181921997e+00 6.626447024640508971e+03
6.621225652511790940e+03 -5.221372304181921997e+00 6.626447024815973236e+03
6.626861860370836439e+03 -5.230081513064927634e+00 6.632091941883901200e+03
6.626861860370836439e+03 -5.230081513064927634e+00 6.632091941883901200e+03
6.623837859090002894e+03 -5.231898884827534069e+00 6.629069757974830281e+03
6.623837858217522808e+03 -5.231898884827534069e+00 6.629069757102350195e+03
6.623837858861372297e+03 -5.231898884827534069e+00 6.629069757746199684e+03
6.623837859090002894e+03 -5.231898884827534069e+00 6.629069757974830281e+03
6.623837858725943988e+03 -5.231898884827534069e+00 6.629069757610771376e+03
6.623837858861372297e+03 -5.231898884827534069e+00 6.629069757746199684e+03
6.623837859090002894e+03 -5.231898884827534069e+00 6.629069757974830281e+03
6.623837858861372297e+03 -5.231898884827534069e+00 6.629069757746199684e+03
6.623837859090002894e+03 -5.231898884827534069e+00 6.629069757974830281e+03
6.623837859090002894e+03 -5.231898884827534069e+00 6.629069757974830281e+03
6.623837859090002894e+03 -5.231898884827534069e+00 6.629069757974830281e+03
6.623837858860304550e+03 -5.231898884827534069e+00 6.629069757745131938e+03
6.623837859313613080e+03 -5.231898884827534069e+00 6.629069758198440468e+03
6.623837859090002894e+03 -5.231898884827534069e+00 6.629069757974830281e+03
6.628309189314023570e+03 -5.244383231737399953e+00 6.633553572545761199e+03
6.628309189314023570e+03 -5.244383231737399953e+00 6.633553572545761199e+03
6.628309189190358666e+03 -5.244383231737399953e+00 6.633553572422096295e+03
6.628309189150917518e+03 -5.244383231737399953e+00 6.633553572382655148e+03
6.628309189329599576e+03 -5.244383231737399953e+00 6.633553572561337205e+03
6.632057490394606248e+03 -5.251058562147141728e+00 6.637308548956753839e+03
6.632057488979670779e+03 -5.251058562147141728e+00 6.637308547541818371e+03
6.632057489605032970e+03 -5.251058562147141728e+00 6.637308548167180561e+03
6.632057489605032970e+03 -5.251058562147141728e+00 6.637308548167180561e+03
6.632057489605032970e+03 -5.251058562147141728e+00 6.637308548167180561e+03
6.622003817904435891e+03 -5.256747248559205943e+00 6.627260565152994786e+03
6.622003817904435891e+03 -5.256747248559205943e+00 6.627260565152994786e+03
6.638687167493461857e+03 -5.258198133436044586e+00 6.643945365626897910e+03
6.616674010327460564e+03 -5.261708887478480534e+00 6.621935719214939127e+03
6.616674010327460564e+03 -5.261708887478480534e+00 6.621935719214939127e+03
6.625723726555271242e+03 -5.261814937649463175e+00 6.630985541492920675e+03
6.625723727546227565e+03 -5.261814937649463175e+00 6.630985542483876998e+03
6.625723727092125955e+03 -5.261814937649463175e+00 6.630985542029775388e+03
6.625723728104125257e+03 -5.261814937649463175e+00 6.630985543041774690e+03
6.625723727546227565e+03 -5.261814937649463175e+00 6.630985542483876998e+03
6.625723726555271242e+03 -5.261814937649463175e+00 6.630985541492920675e+03
6.625723727092125955e+03 -5.261814937649463175e+00 6.630985542029775388e+03
6.625723728104125257e+03 -5.261814937649463175e+00 6.630985543041774690e+03
6.625723727546227565e+03 -5.261814937649463175e+00 6.630985542483876998e+03
6.625723726947365321e+03 -5.261814937649463175e+00 6.630985541885014754e+03
6.620701081826673544e+03 -5.281145398914133260e+00 6.625982227225587849e+03
6.618460749449430295e+03 -5.288896715814110472e+00 6.623749646165244485e+03
6.618460749826895153e+03 -5.288896715814110472e+00 6.623749646542709343e+03
6.618460749085612406e+03 -5.288896715814110472e+00 6.623749645801426595e+03
6.618460749826895153e+03 -5.288896715814110472e+00 6.623749646542709343e+03
6.618460749826895153e+03 -5.288896715814110472e+00 6.623749646542709343e+03
6.618460749826895153e+03 -5.288896715814110472e+00 6.623749646542709343e+03
6.618460749826895153e+03 -5.288896715814110472e+00 6.623749646542709343e+03
6.618460749245466104e+03 -5.288896715814110472e+00 6.623749645961280294e+03
6.623810202855443094e+03 -5.289401933229587627e+00 6.629099604788672877e+03
6.623810202855443094e+03 -5.289401933229587627e+00 6.629099604788672877e+03
6.619677309963746666e+03 -5.289816859647102909e+00 6.624967126823394210e+03
6.619677309963746666e+03 -5.289816859647102909e+00 6.624967126823394210e+03
6.619677309553269879e+03 -5.289816859647102909e+00 6.624967126412917423e+03
6.619677309963746666e+03 -5.289816859647102909e+00 6.624967126823394210e+03
6.619677309963746666e+03 -5.289816859647102909e+00 6.624967126823394210e+03
6.619677309963746666e+03 -5.289816859647102909e+00 6.624967126823394210e+03
6.619677310072555883e+03 -5.289816859647102909e+00 6.624967126932203428e+03
6.619677310072555883e+03 -5.289816859647102909e+00 6.624967126932203428e+03
6.619677310072555883e+03 -5.289816859647102909e+00 6.624967126932203428e+03
6.619677309625308226e+03 -5.289816859647102909e+00 6.624967126484955770e+03
6.613751455900634937e+03 -5.292818696459413275e+00 6.619044274597094045e+03
6.622529856090939575e+03 -5.307100157493420234e+00 6.627836956248433125e+03
6.622529856189284146e+03 -5.307100157493420234e+00 6.627836956346777697e+03
6.622529856119172109e+03 -5.307100157493420234e+00 6.627836956276665660e+03
6.622529855985636459e+03 -5.307100157493420234e+00 6.627836956143130010e+03
6.622529856105040380e+03 -5.307100157493420234e+00 6.627836956262533931e+03
6.622529856193977139e+03 -5.307100157493420234e+00 6.627836956351470690e+03
6.622529856146643397e+03 -5.307100157493420234e+00 6.627836956304136947e+03
6.617569338905490440e+03 -5.307389028372138107e+00 6.622876727933862639e+03
6.617569337749043370e+03 -5.307389028372138107e+00 6.622876726777415570e+03
6.615226227446992198e+03 -5.308529463156762773e+00 6.620534756910148644e+03
6.615226227879226826e+03 -5.308529463156762773e+00 6.620534757342383273e+03
6.615226227942036530e+03 -5.308529463156762773e+00 6.620534757405192977e+03
6.615226227792068130e+03 -5.308529463156762773e+00 6.620534757255224577e+03
6.614191382307539243e+03 -5.338478786301985579e+00 6.619529861093841646e+03
6.622494054635369139e+03 -5.338885752480018176e+00 6.627832940387848794e+03
6.622494056137752523e+03 -5.338885752480018176e+00 6.627832941890232178e+03
6.622494054635369139e+03 -5.338885752480018176e+00 6.627832940387848794e+03
6.622494055203039352e+03 -5.338885752480018176e+00 6.627832940955519007e+03
6.622494054635369139e+03 -5.338885752480018176e+00 6.627832940387848794e+03
6.622494056137752523e+03 -5.338885752480018176e+00 6.627832941890232178e+03
6.622494054635369139e+03 -5.338885752480018176e+00 6.627832940387848794e+03
6.622494054628309641e+03 -5.338885752480018176e+00 6.627832940380789296e+03
6.622494055203039352e+03 -5.338885752480018176e+00 6.627832940955519007e+03
6.622494055877390565e+03 -5.338885752480018176e+00 6.627832941629870220e+03
6.622494055877390565e+03 -5.338885752480018176e+00 6.627832941629870220e+03
6.640762850617030381e+03 -5.342198735718508118e+00 6.646105049352749120e+03
6.615812939441760136e+03 -5.347148151344832456e+00 6.621160087593105345e+03
6.615812938830015810e+03 -5.347148151344832456e+00 6.621160086981361019e+03
6.615812939317305791e+03 -5.347148151344832456e+00 6.621160087468651000e+03
6.615812938830015810e+03 -5.347148151344832456e+00 6.621160086981361019e+03
6.621635153387150240e+03 -5.353641297372310426e+00 6.626988794684522873e+03
6.621635154035377127e+03 -5.353641297372310426e+00 6.626988795332749760e+03
6.621635153665435610e+03 -5.353641297372310426e+00 6.626988794962808242e+03
6.618273917493030240e+03 -5.354834280403713009e+00 6.623628751773433578e+03
6.618273915970063172e+03 -5.354834280403713009e+00 6.623628750250466510e+03
6.616162227698309835e+03 -5.368283436233081574e+00 6.621530511134543303e+03
6.616162227590842122e+03 -5.368283436233081574e+00 6.621530511027075590e+03
6.616162227698309835e+03 -5.368283436233081574e+00 6.621530511134543303e+03
6.616162227698309835e+03 -5.368283436233081574e+00 6.621530511134543303e+03
6.616162227562827866e+03 -5.368283436233081574e+00 6.621530510999061335e+03
6.616162227820856060e+03 -5.368283436233081574e+00 6.621530511257089529e+03
6.634300891236693133e+03 -5.373402053796523248e+00 6.639674293290489913e+03
6.634300891133062578e+03 -5.373402053796523248e+00 6.639674293186859359e+03
6.634300891236693133e+03 -5.373402053796523248e+00 6.639674293290489913e+03
6.613877057072614662e+03 -5.374025009865827762e+00 6.619251082082480934e+03
6.613877056105142401e+03 -5.374025009865827762e+00 6.619251081115008674e+03
6.613877057010893623e+03 -5.374025009865827762e+00 6.619251082020759895e+03
6.613877056881751741e+03 -5.374025009865827762e+00 6.619251081891618014e+03
6.619344787092241859e+03 -5.377909217903279249e+00 6.624722696310144784e+03
6.617320738586545303e+03 -5.378732092589228131e+00 6.622699470679134720e+03
6.628156088582840312e+03 -5.382079772430911291e+00 6.633538168355271409e+03
6.628156088582840312e+03 -5.382079772430911291e+00 6.633538168355271409e+03
6.628156087501714865e+03 -5.382079772430911291e+00 6.633538167274145962e+03
6.611784810353850844e+03 -5.386179324427443404e+00 6.617170989678278602e+03
6.611784810870688489e+03 -5.386179324427443404e+00 6.617170990195116246e+03
6.611784810353850844e+03 -5.386179324427443404e+00 6.617170989678278602e+03
6.611784811988750334e+03 -5.386179324427443404e+00 6.617170991313178092e+03
6.611784810353850844e+03 -5.386179324427443404e+00 6.617170989678278602e+03
6.613739654122165120e+03 -5.390085767908523451e+00 6.619129739890073324e+03
6.613739653770066980e+03 -5.390085767908523451e+00 6.619129739537975183e+03
6.613739654122165120e+03 -5.390085767908523451e+00 6.619129739890073324e+03
6.613739654264879391e+03 -5.390085767908523451e+00 6.619129740032787595e+03
6.626606040033267163e+03 -5.396922288745800600e+00 6.632002962322012536e+03
6.626606039031187720e+03 -5.396922288745800600e+00 6.632002961319933092e+03
6.619007300034912987e+03 -5.397805963943184793e+00 6.624405105998856016e+03
6.619007299702564524e+03 -5.397805963943184793e+00 6.624405105666507552e+03
6.606014863382659314e+03 -5.400135381020083614e+00 6.611414998763679250e+03
6.625170701300779911e+03 -5.405143967055842324e+00 6.630575845267835575e+03
6.625170701300779911e+03 -5.405143967055842324e+00 6.630575845267835575e+03
