#    NumIter	  NumCalls	     dlogz	   Time[s]
301.000000	931.000000	77379.731086	 63.115777
602.000000	1683.000000	39973.085826	111.666308
903.000000	2891.000000	15677.647428	174.536606
1204.000000	5154.000000	5480.996550	330.024276
1505.000000	9132.000000	1699.297308	584.176575
1806.000000	17798.000000	550.655058	1269.079551
2107.000000	22724.000000	292.502957	542.992258
2408.000000	27509.000000	197.234267	543.944340
2709.000000	32204.000000	131.832339	673.086827
3010.000000	36899.000000	102.078485	689.956619
3311.000000	41624.000000	 79.070165	599.191387
3612.000000	46334.000000	 63.512820	708.421936
3913.000000	51209.000000	 55.946715	615.324217
4214.000000	55919.000000	 43.232777	712.344488
4515.000000	60644.000000	 36.173983	618.851838
4816.000000	65354.000000	 28.918475	711.359679
5117.000000	70019.000000	 29.181635	722.603443
5418.000000	74684.000000	 25.208781	628.959783
5719.000000	79439.000000	 21.867344	739.885715
6020.000000	84059.000000	 19.064957	622.431090
6321.000000	88844.000000	 16.579733	739.082650
6622.000000	93494.000000	 14.818850	628.451368
6923.000000	98174.000000	 12.729481	729.449708
7224.000000	102869.000000	 11.662106	627.300064
7525.000000	107594.000000	  9.736858	724.464664
7826.000000	112304.000000	  8.460875	635.649909
8127.000000	117089.000000	  7.463458	741.582965
8428.000000	121754.000000	  6.202899	635.110306
8729.000000	126464.000000	  4.977255	725.074332
9030.000000	131204.000000	  3.987772	619.919577
9331.000000	135929.000000	  2.953796	734.680917
9632.000000	140624.000000	  2.063845	730.712438
9933.000000	145334.000000	  1.339412	619.012209
10234.000000	150074.000000	  0.812015	735.542291
10243.000000	150209.000000	  0.799240	  0.234042
