#    NumIter	  NumCalls	     dlogz	   Time[s]
301.000000	801.000000	999999992000000106381574106533084846302568446383418558986654832538354759246072026536571833375784960.000000	105.177775
602.000000	1108.000000	999999984000000245426979408949478418755603706960281645055347885605413672570416190464403798296100864.000000	105.926850
903.000000	1476.000000	999999973000000436614411699772019580878527190253468388399800833572619678391389415865172750061535232.000000	117.939008
1204.000000	2613.000000	 14.961408	370.341285
1505.000000	4866.000000	 10.770195	800.887137
1806.000000	8077.000000	  8.029829	1074.812753
2107.000000	14174.000000	  6.090907	2075.554185
2408.000000	24335.000000	  4.549585	3304.150046
2709.000000	29060.000000	  3.887773	615.746311
3010.000000	33845.000000	  3.304156	1025.229260
3311.000000	38435.000000	  2.518141	1085.550414
3612.000000	43055.000000	  2.012016	1151.625713
3913.000000	47735.000000	  1.374405	1160.414608
4214.000000	52550.000000	  0.885294	1139.899252
4279.000000	53555.000000	  0.798791	138.186308
