#    NumIter	  NumCalls	     dlogz	   Time[s]
301.000000	483.000000	999999992000000106381574106533084846302568446383418558986654832538354759246072026536571833375784960.000000	 91.680081
602.000000	801.000000	999999984000000245426979408949478418755603706960281645055347885605413672570416190464403798296100864.000000	 91.777327
903.000000	1149.000000	999999975000000401853060374167921187765268375109252616882627570305854950060303374883214758831456256.000000	103.449463
1204.000000	1664.000000	999999961000000645182519653396609939558080081118763017502840413173208048377905661756920697442009088.000000	148.819641
1505.000000	7766.000000	19710.807395	1741.587771
1806.000000	18930.000000	11894.256035	2953.499783
2107.000000	23865.000000	5930.201374	973.432203
2408.000000	28950.000000	2797.302792	1153.746474
2709.000000	33900.000000	1750.772977	1218.682242
3010.000000	38835.000000	599.102588	1418.878867
3311.000000	43725.000000	388.654174	1276.068639
3612.000000	48585.000000	225.305335	1257.944085
3913.000000	53535.000000	199.313949	1285.420360
4214.000000	58425.000000	166.339416	1294.906636
4515.000000	63300.000000	148.302147	1316.671402
4816.000000	68175.000000	 97.114671	1508.123275
5117.000000	73335.000000	 62.052878	1334.071094
5418.000000	78450.000000	 54.872657	1524.159042
5719.000000	83475.000000	 17.922615	1333.439139
6020.000000	88455.000000	  7.511720	1301.545530
6321.000000	93315.000000	  7.078273	1454.978043
6622.000000	98160.000000	  5.213810	1293.103764
6923.000000	103110.000000	  4.315497	1296.283265
7224.000000	108165.000000	  2.830053	1309.101916
7525.000000	113085.000000	  1.569813	1292.919793
7694.000000	115785.000000	  0.797095	814.178678
